nom_produit,lien_produit,Description,img_produit
Menthe Forte 50ml HELLFEST...,https://www.aromes-et-liquides.fr/e-liquide-cloud-vapor/15872-menthe-forte-50ml-hellfest.html,Un e-liquide à la menthe verte aux saveurs fraîches,https://assets.aromes-et-liquides.fr/46815-thickbox_default/menthe-forte-50ml-hellfest.jpg
The Green Bear 50ml Secret...,https://www.aromes-et-liquides.fr/e-liquide-secret-garden/17566-the-green-bear-50ml-secret-s-lab.html,Un e-liquide au goût frais de chlorophylle,https://assets.aromes-et-liquides.fr/53553-thickbox_default/the-green-bear-50ml-secret-s-lab.jpg
Lemon Splash Mint 50ml...,https://www.aromes-et-liquides.fr/e-liquide-lemon-splash-cocktail-edition/16860-lemon-splash-mint-50ml.html,La recette du diabolo menthe revue par Tribal Force !,https://assets.aromes-et-liquides.fr/49967-thickbox_default/lemon-splash-mint-50ml.jpg
SubZero 50ml Halo,https://www.aromes-et-liquides.fr/e-liquide-halo/17775-subzero-50ml.html,Une menthe fraîche dans une fiole de 100ml !,https://assets.aromes-et-liquides.fr/53256-thickbox_default/subzero-50ml.jpg
Sakai 50ml Curieux,https://www.aromes-et-liquides.fr/e-liquide-curieux/15441-sakai-50ml.html,Un liquide à l'aloe vera et à la menthe,https://assets.aromes-et-liquides.fr/45588-thickbox_default/sakai-50ml.jpg
Menthe Glaciale Sel de...,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/17730-menthe-glaciale-sel-de-nicotine.html,"Une fraîcheur polaire prête à vaper, au sel de nicotine",https://assets.aromes-et-liquides.fr/55049-thickbox_default/menthe-glaciale-sel-de-nicotine.jpg
Ice Storm 50ml Cryptage AVAP,https://www.aromes-et-liquides.fr/e-liquide-avap/16191-ice-storm-50ml-cryptage.html,Une saveur de menthe fraîche par AVAP !,https://assets.aromes-et-liquides.fr/47948-thickbox_default/ice-storm-50ml-cryptage.jpg
Menthe Boréale Sel de...,https://www.aromes-et-liquides.fr/e-liquide-petit-nuage/17266-menthe-boreale-sel-de-nicotine.html,Un goût de menthe fraîche dans un e-liquide au sel de nicotine,https://assets.aromes-et-liquides.fr/54254-thickbox_default/menthe-boreale-sel-de-nicotine.jpg
Menthe Boréale 60ml Petit...,https://www.aromes-et-liquides.fr/e-liquide-petit-nuage/16772-menthe-boreale-60ml.html,Une saveur fraîche de menthe revisitée pour Petit Nuage,https://assets.aromes-et-liquides.fr/49769-thickbox_default/menthe-boreale-60ml.jpg
Menthe Glaciale 50ml...,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/17725-menthe-glaciale-50ml.html,Une fraîcheur mentholée dans 50ml à booster !,https://assets.aromes-et-liquides.fr/53179-thickbox_default/menthe-glaciale-50ml.jpg
E-liquide Menthe Nanah 50ml par Solana,https://www.aromes-et-liquides.fr/e-liquide-solana/11184-e-liquide-menthe-nanah-50ml.html,"Un thé à la menthe frais, à booster !",https://assets.aromes-et-liquides.fr/32355-thickbox_default/e-liquide-menthe-nanah-50ml.jpg
Glacial MiNiMAL The Fuu,https://www.aromes-et-liquides.fr/e-liquide-minimal/17531-glacial-the-fuu.html,Une fraîcheur mentholée aux sels de nicotine,https://assets.aromes-et-liquides.fr/54277-thickbox_default/glacial-the-fuu.jpg
Lothaire 814,https://www.aromes-et-liquides.fr/e-liquide-814/16548-lothaire.html,Un mix aux saveurs mentholées et fraîches au goût de chlorophylle,https://assets.aromes-et-liquides.fr/54089-thickbox_default/lothaire.jpg
Menthe Fraîche 50ml Millésime,https://www.aromes-et-liquides.fr/e-liquide-millesime/18183-menthe-fraiche-50ml.html,Un goût frais de menthe dans 50ml de e-liquide à booster,https://assets.aromes-et-liquides.fr/54964-thickbox_default/menthe-fraiche-50ml.jpg
Abyss Mint Epic Frost 50ml...,https://www.aromes-et-liquides.fr/e-liquide-the-fuu/15935-abyss-mint-epic-frost-50ml.html,Un e-liquide à booster goût frais de bonbon à la menthe !,https://assets.aromes-et-liquides.fr/47015-thickbox_default/abyss-mint-epic-frost-50ml.jpg
The Green Bear Secret...,https://www.aromes-et-liquides.fr/e-liquide-secret-garden/17987-the-green-bear-secret-s-lab.html,Un goût frais et mentholé de chlorophylle en prêt à vaper,https://assets.aromes-et-liquides.fr/53887-thickbox_default/the-green-bear-secret-s-lab.jpg
The Bear Salt Secret Garden...,https://www.aromes-et-liquides.fr/e-liquide-secret-garden/18446-the-bear-salt-secret-s-lab.html,Un duo de menthe verte et bleue dans un e-liquide au sel de nicotine,https://assets.aromes-et-liquides.fr/56145-thickbox_default/the-bear-salt-secret-s-lab.jpg
Heisenberg Gum Ice Vampire...,https://www.aromes-et-liquides.fr/e-liquide-vampire-vape/17833-heisenberg-gum-ice.html,Un e-liquide Heisenberg façon chewing-gum rose !,https://assets.aromes-et-liquides.fr/54364-thickbox_default/heisenberg-gum-ice.jpg
Menthol Ice 50ml Dotmod Juice,https://www.aromes-et-liquides.fr/e-liquide-dotmod-juice/17612-menthol-ice-50ml.html,Une menthe fraîche revisitée par les américains de Dotmod Juice,https://assets.aromes-et-liquides.fr/52820-thickbox_default/menthol-ice-50ml.jpg
Absolute Zero 50ml Hookah...,https://www.aromes-et-liquides.fr/e-liquide-hookah-juice/17879-absolute-zero-50ml-tribal-force.html,Une saveur fraîche de menthe verte dans une recette à booster,https://assets.aromes-et-liquides.fr/53488-thickbox_default/absolute-zero-50ml-tribal-force.jpg
Menthe Verte Glacée Pulp,https://www.aromes-et-liquides.fr/e-liquide-pulp/17847-menthe-verte-glacee.html,Un goût frais et mentholé de chlorophylle,https://assets.aromes-et-liquides.fr/54938-thickbox_default/menthe-verte-glacee.jpg
Menthe Amoureuse 50ml Marie...,https://www.aromes-et-liquides.fr/e-liquide-marie-jeanne/18087-menthe-amoureuse-50ml.html,"Un e-liquide CBD au goût de menthe, framboise et citron",https://assets.aromes-et-liquides.fr/54702-thickbox_default/menthe-amoureuse-50ml.jpg
Vichille 50ml Amalgam e.Tasty,https://www.aromes-et-liquides.fr/e-liquide-etasty/17862-vichille-50ml-amalgam.html,"Une saveur fraîche de pastille mentholée, à booster !",https://assets.aromes-et-liquides.fr/53404-thickbox_default/vichille-50ml-amalgam.jpg
