nom_produit,lien_produit,Description,img_produit
Castle Long Five Pawns,https://www.aromes-et-liquides.fr/e-liquide-five-pawns/3469-e-liquide-castle-long-par-five-pawns.html,"Amande, coco, sucre brun, vanille et bourbon !",https://assets.aromes-et-liquides.fr/54417-thickbox_default/e-liquide-castle-long-par-five-pawns.jpg
Darka Bubble Baba Tentation...,https://www.aromes-et-liquides.fr/e-liquide-tentation/12548-darka-bubble-baba-tentation-liquideo.html,Un e-liquide prêt à l'emploi au goût de chewing-gum !,https://assets.aromes-et-liquides.fr/54445-thickbox_default/darka-bubble-baba-tentation-liquideo.jpg
Projet Lenny Revolute,https://www.aromes-et-liquides.fr/e-liquide-revolute/4178-e-liquide-projet-lenny-vape-or-diy.html,Les saveurs d'un custard et céréales dans un e-liquide prêt à vaper !,https://assets.aromes-et-liquides.fr/54456-thickbox_default/e-liquide-projet-lenny-vape-or-diy.jpg
Le Dessert De Mamie Petit...,https://www.aromes-et-liquides.fr/e-liquide-petit-nuage/10467-e-liquide-le-dessert-de-mamie-par-petit-nuage.html,La crème brûlée de votre grand-mère !,https://assets.aromes-et-liquides.fr/54437-thickbox_default/e-liquide-le-dessert-de-mamie-par-petit-nuage.jpg
Creme Kong Joe's Juice 200 ml,https://www.aromes-et-liquides.fr/e-liquide-joe-s-juice/12744-creme-kong-200-ml.html,Custard à la vanille et biscuit dans ce e-liquide 200ml,https://assets.aromes-et-liquides.fr/37326-thickbox_default/creme-kong-200-ml.jpg
Bowden's Mate Five Pawns,https://www.aromes-et-liquides.fr/e-liquide-five-pawns/3470-e-liquide-bowden-s-mate-par-five-pawns.html,"Menthe fraîche, chocolat et vanille pour un mix prêt-à-vaper !",https://assets.aromes-et-liquides.fr/54414-thickbox_default/e-liquide-bowden-s-mate-par-five-pawns.jpg
Dulce Dictator,https://www.aromes-et-liquides.fr/e-liquide-dictator/4971-e-liquide-dulce-dictator-par-savourea-.html,Une saveur de vanille et caramel accompagné d'un goût de whisky,https://assets.aromes-et-liquides.fr/54570-thickbox_default/e-liquide-dulce-dictator-par-savourea-.jpg
E-liquide Cinema Reserve Act 3 100ml par Cloud of Icarus,https://www.aromes-et-liquides.fr/e-liquide-clouds-of-icarus/11666-e-liquide-cinema-act-3-100ml.html,Un birthday cake et son popcorn au caramel !,https://assets.aromes-et-liquides.fr/33962-thickbox_default/e-liquide-cinema-act-3-100ml.jpg
La Tarte 200ml Jin & Juice,https://www.aromes-et-liquides.fr/e-liquide-jin-juice/15117-la-tarte-200ml.html,Une tarte au citron meringuée de 200ml,https://assets.aromes-et-liquides.fr/44859-thickbox_default/la-tarte-200ml.jpg
Donald Swoke,https://www.aromes-et-liquides.fr/e-liquide-swoke/3883-e-liquide-donald-the-big-fat-custard-par-swoke.html,Une crème custarde à la vanille en format prêt-à-vaper !,https://assets.aromes-et-liquides.fr/54470-thickbox_default/e-liquide-donald-the-big-fat-custard-par-swoke.jpg
E-liquide Relax 50ml par Eliquid France,https://www.aromes-et-liquides.fr/e-liquide-eliquid-france/5743-e-liquide-relax-50ml-par-eliquid-france.html,"Mélange de classic, de cookie, de vanille et de café.",https://assets.aromes-et-liquides.fr/15493-thickbox_default/e-liquide-relax-50ml-par-eliquid-france.jpg
Double Cotton Candy 50ml...,https://www.aromes-et-liquides.fr/e-liquide-american-dream/16360-double-cotton-candy-50ml.html,Une saveur de barbe à papa pour votre e-cigarette !,https://assets.aromes-et-liquides.fr/48666-thickbox_default/double-cotton-candy-50ml.jpg
Toffeenana 100ml Sweets...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14073-toffeenana-100ml-sweets.html,Un duo de bananes et de caramel !,https://assets.aromes-et-liquides.fr/41516-thickbox_default/toffeenana-100ml-sweets.jpg
Caramel Cirkus VDLV,https://www.aromes-et-liquides.fr/e-liquide-cirkus-vdlv/3977-e-liquide-cirkus-caramel-par-vdlv-.html,Un e-liquide au caramel dans un format 10ml,https://assets.aromes-et-liquides.fr/54980-thickbox_default/e-liquide-cirkus-caramel-par-vdlv-.jpg
Cinematik 50ml Les...,https://www.aromes-et-liquides.fr/e-liquide-al-creations/15165-cinematik-50ml.html,"E-liquide pop-corn caramel en 50ml à booster, par A&L !",https://assets.aromes-et-liquides.fr/45043-thickbox_default/cinematik-50ml.jpg
Old Nuts Moonshiners Salt...,https://www.aromes-et-liquides.fr/e-liquide-le-french-liquide/13467-old-nuts-moonshiners-salt-e-vapor.html,Un e-liquide saveur nougat en version sel de nicotine,https://assets.aromes-et-liquides.fr/54382-thickbox_default/old-nuts-moonshiners-salt-e-vapor.jpg
Caramel Cheesecake 100ml...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14691-caramel-cheesecake-100ml-dessert.html,Un cheesecake au caramel en 100ml de e-liquide,https://assets.aromes-et-liquides.fr/43723-thickbox_default/caramel-cheesecake-100ml-dessert.jpg
Golden Key 50ml Secret's Lab,https://www.aromes-et-liquides.fr/e-liquide-secret-s-keys/14155-golden-key-50-ml.html,Une crème au caramel et à la vanille pour cette création Secret's Keys,https://assets.aromes-et-liquides.fr/41821-thickbox_default/golden-key-50-ml.jpg
Crème Brûlée Curieux,https://www.aromes-et-liquides.fr/e-liquide-curieux/13184-creme-brulee-10ml.html,Une crème à la vanille et au caramel en prêt-à-vaper,https://assets.aromes-et-liquides.fr/54358-thickbox_default/creme-brulee-10ml.jpg
